,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
"('Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster', 'The Notorious B.I.G.')",0.0949,0.833,286187,0.628,Rap,1.6e-06,2,0.282,-7.041,1,0.141,106.328,4,0.645
"('Gimme the Loot - 2005 Remaster', 'The Notorious B.I.G.')",0.0867,0.713,304147,0.647,Rap,0,7,0.636,-8.22,1,0.439,94.036,4,0.694
"('Godzilla (feat. Juice WRLD)', 'Eminem')",0.145,0.808,210800,0.745,Rap,0,10,0.292,-5.26,0,0.342,165.995,4,0.829
"(""'Till I Collapse"", 'Eminem')",0.0622,0.548,297787,0.847,Rap,0,1,0.0816,-3.237,1,0.186,171.447,4,0.1
"('Without Me', 'Eminem')",0.00286,0.908,290320,0.669,Rap,0,7,0.237,-2.827,1,0.0738,112.238,4,0.662
"('Love The Way You Lie', 'Eminem')",0.241,0.749,263373,0.925,Rap,0,10,0.52,-5.034,1,0.227,86.989,4,0.641
"('The Real Slim Shady', 'Eminem')",0.0302,0.949,284200,0.661,Rap,0,5,0.0454,-4.244,0,0.0572,104.504,4,0.76
"('Lucky You (feat. Joyner Lucas)', 'Eminem')",0.0627,0.876,244679,0.786,Rap,0,10,0.127,-4.884,0,0.306,153.068,4,0.575
"('Not Afraid', 'Eminem')",0.529,0.855,248133,0.954,Rap,0,0,0.205,-1.19,0,0.264,114.635,5,0.668
"('Rap God', 'Eminem')",0.397,0.708,363521,0.843,Rap,0,7,0.799,-2.66,1,0.314,148.14,4,0.625
"('Lose Yourself - From ""8 Mile"" Soundtrack', 'Eminem')",0.00868,0.692,326467,0.744,Rap,0.000423,2,0.359,-4.565,1,0.257,171.374,4,0.0612
"('River (feat. Ed Sheeran)', 'Eminem')",0.142,0.748,221013,0.749,Rap,0,8,0.0713,-5.916,0,0.516,90.09,4,0.659
"('HUMBLE.', 'Kendrick Lamar')",0.000282,0.908,177000,0.621,Rap,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,0.421
"('LOVE. FEAT. ZACARI.', 'Kendrick Lamar')",0.264,0.8,213400,0.585,Rap,0.0,10,0.153,-7.343,1,0.0924,126.058,4,0.779
"('DNA.', 'Kendrick Lamar')",0.00454,0.638,185947,0.523,Rap,0.0,1,0.0842,-6.664,1,0.357,139.913,4,0.422
"('All The Stars (with SZA)', 'Kendrick Lamar')",0.0605,0.698,232187,0.633,Rap,0.000194,8,0.0926,-4.946,1,0.0597,96.924,4,0.552
"('Pray For Me (with Kendrick Lamar)', 'Kendrick Lamar')",0.0762,0.735,211440,0.677,Rap,2.17e-05,2,0.111,-4.979,1,0.093,100.584,4,0.188
"(""King's Dead (with Kendrick Lamar, Future & James Blake)"", 'Kendrick Lamar')",0.000813,0.645,229670,0.705,Rap,0.0,1,0.128,-5.008,1,0.299,137.133,4,0.376
"('King Kunta', 'Kendrick Lamar')",0.00589,0.884,234693,0.657,Rap,0.0,6,0.154,-4.569,0,0.0977,107.059,4,0.489
"('LOYALTY. FEAT. RIHANNA.', 'Kendrick Lamar')",0.0265,0.658,227360,0.535,Rap,0.0,9,0.2,-8.983,0,0.0573,110.684,4,0.419
"('Alright', 'Kendrick Lamar')",0.0742,0.796,219333,0.766,Rap,0.0,7,0.0827,-5.974,1,0.238,110.034,4,0.558
"('HUMBLE. - SKRILLEX REMIX', 'Kendrick Lamar')",0.00781,0.902,156800,0.934,Rap,8.23e-05,11,0.194,-2.345,1,0.272,150.029,4,0.867
"('Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Wolfgang Amadeus Mozart')",0.982,0.194,433800,0.0324,Classical,0.961,5,0.0916,-28.215,1,0.0382,144.13,4,0.0596
"('Requiem, K. 626: Lacrimosa', 'Wolfgang Amadeus Mozart')",0.944,0.162,169667,0.0898,Classical,0.917,2,0.187,-23.269,0,0.0354,132.047,3,0.0413
"('Le Nozze di Figaro, K. 492: Sinfonia', 'Wolfgang Amadeus Mozart')",0.839,0.386,251200,0.0738,Classical,0.947,2,0.155,-19.369,1,0.0433,142.499,4,0.172
"('Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Wolfgang Amadeus Mozart')",0.987,0.428,460027,0.237,Classical,0.896,7,0.0849,-13.764,0,0.0351,79.904,4,0.357
"('Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Wolfgang Amadeus Mozart')",0.982,0.308,294467,0.211,Classical,0.931,0,0.145,-22.838,1,0.0385,120.481,4,0.645
"('Adagio in E Major, K. 261', 'Wolfgang Amadeus Mozart')",0.969,0.194,517360,0.079,Classical,0.498,4,0.126,-21.389,1,0.0425,100.309,4,0.082
"('Klarinettenkonzert A-Dur, K. 622: 2. Adagio (Jenseits von Afrika): II. Adagio', 'Wolfgang Amadeus Mozart')",0.967,0.122,477733,0.0182,Classical,0.834,2,0.0735,-27.89,1,0.0383,77.59,3,0.0473
"('Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Wolfgang Amadeus Mozart')",0.948,0.492,351493,0.136,Classical,0.893,7,0.0726,-18.839,1,0.0463,135.786,4,0.445
"('Requiem in D minor, K.626: 3. Sequentia: Confutatis', 'Wolfgang Amadeus Mozart')",0.991,0.128,147573,0.0386,Classical,0.94,0,0.104,-23.759,1,0.0434,75.078,4,0.0359
"('Ave verum corpus', 'Wolfgang Amadeus Mozart')",0.979,0.21,164387,0.101,Classical,0.964,2,0.106,-25.054,1,0.0418,76.627,3,0.0352
"('Cello Suite No. 1 in G Major, BWV 1007: I. Prélude', 'Johann Sebastian Bach')",0.9,0.257,151480,0.109,Classical,0.867,7,0.0762,-21.356,1,0.0597,75.02,4,0.307
"('The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846', 'Johann Sebastian Bach')",0.989,0.235,139307,0.125,Classical,0.896,0,0.101,-25.418,1,0.0449,134.096,4,0.208
"('Goldberg Variations, BWV 988: Aria', 'Johann Sebastian Bach')",0.995,0.454,184853,0.0139,Classical,0.943,4,0.0736,-29.966,0,0.0514,130.253,4,0.244
"('Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: I. Prélude', 'Johann Sebastian Bach')",0.988,0.326,150973,0.0993,Classical,0.916,7,0.108,-22.496,1,0.072,137.274,1,0.417
"('Suite No.3 In D, BWV 1068: 2. Air', 'Johann Sebastian Bach')",0.918,0.0753,365147,0.07,Classical,0.947,2,0.146,-27.272,1,0.044,79.801,4,0.0625
"('Sheep May Safely Graze', 'Johann Sebastian Bach')",0.995,0.494,295840,0.016,Classical,0.922,10,0.136,-32.307,1,0.0426,98.224,4,0.118
"('The Well-Tempered Clavier, Book 1, Prelude & Fugue in C Major, BWV 846: I. Prelude', 'Johann Sebastian Bach')",0.992,0.163,205507,0.00955,Classical,0.946,0,0.0657,-36.345,1,0.0511,72.327,3,0.167
"('Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)', 'Johann Sebastian Bach')",0.992,0.384,326520,0.0414,Classical,0.897,11,0.0684,-23.019,0,0.0378,71.224,4,0.0618
"(""Herz und Mund und Tat und Leben, Cantata BWV 147: Jesu, Joy Of Man's Desiring (Arr. For Piano By Myra Hess)"", 'Johann Sebastian Bach')",0.995,0.239,243373,0.0142,Classical,0.894,7,0.0659,-29.65,1,0.0438,172.559,3,0.306
"('Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)', 'Johann Sebastian Bach')",0.996,0.5,327080,0.0104,Classical,0.949,2,0.0573,-26.764,1,0.0622,114.76,4,0.133
"('Clair de Lune, L. 32', 'Claude Debussy')",0.994,0.335,268000,0.00532,Classical,0.912,1,0.0621,-31.646,1,0.0376,65.832,4,0.0397
"('Suite bergamasque: Suite bergamasque: III. Clair de lune. Andante très expressif', 'Claude Debussy')",0.993,0.343,279160,0.0252,Classical,0.932,1,0.0454,-27.013,1,0.0488,67.207,5,0.0395
"('Suite bergamasque, L. 75: 3. Clair de lune', 'Claude Debussy')",0.994,0.277,294667,0.0063,Classical,0.895,1,0.0645,-31.923,1,0.0458,77.832,3,0.0386
"('Rêverie', 'Claude Debussy')",0.995,0.251,233400,0.00904,Classical,0.922,5,0.0779,-31.599,1,0.0406,62.225,4,0.0819
"('Debussy : Suite bergamasque : III Clair de lune', 'Claude Debussy')",0.993,0.367,357653,0.019,Classical,0.914,1,0.0698,-28.121,1,0.0542,169.443,3,0.0391
"('Suite bergamasque, L. 75: Clair de lune', 'Claude Debussy')",0.994,0.339,346347,0.00597,Classical,0.926,3,0.0695,-27.888,0,0.0509,102.801,4,0.0353
"('Dances for Harp and Orchestra, L. 103: 2. Danse profane', 'Claude Debussy')",0.977,0.266,279653,0.0662,Classical,0.922,7,0.102,-21.072,1,0.0356,142.161,3,0.0402
"('Rêverie, L. 68: Rêverie', 'Claude Debussy')",0.994,0.296,256000,0.00896,Classical,0.91,7,0.0825,-31.948,0,0.0394,69.432,3,0.0673
"('2 Arabesques, L. 66: No. 1 in E Major', 'Claude Debussy')",0.99,0.294,244107,0.0171,Classical,0.91,4,0.0854,-32.377,1,0.038,137.906,4,0.0639
"('Suite Bergamasque: Clair de Lune', 'Claude Debussy')",0.992,0.375,314120,0.00607,Classical,0.883,1,0.0562,-29.405,1,0.0501,67.978,5,0.0445
"('Duel of the Fates', 'John Williams')",0.733,0.471,254347,0.411,Classical,0.853,2,0.28,-15.755,1,0.041,79.986,4,0.282
"('Theme From Jurassic Park', 'John Williams')",0.946,0.144,207427,0.132,Classical,0.779,10,0.115,-19.115,1,0.0333,102.283,3,0.0627
"(""Theme From Schindler's List"", 'John Williams')",0.859,0.142,255693,0.113,Classical,0.838,2,0.107,-25.362,0,0.0415,98.575,1,0.0697
"(""Hedwig's Theme"", 'John Williams')",0.897,0.156,309093,0.162,Classical,0.691,2,0.111,-17.101,0,0.036,73.407,4,0.077
"('Prologue', 'John Williams')",0.957,0.177,130293,0.0188,Classical,0.446,2,0.635,-29.484,0,0.0367,146.472,3,0.0819
"(""The Imperial March (Darth Vader's Theme)"", 'John Williams')",0.753,0.577,179573,0.379,Classical,0.955,7,0.126,-13.82,0,0.0368,103.112,4,0.284
"('Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")', 'John Williams')",0.774,0.116,333347,0.13,Classical,0.914,0,0.111,-18.278,1,0.0355,80.611,4,0.0666
"(""Harry's Wondrous World"", 'John Williams')",0.881,0.227,321067,0.264,Classical,0.9,0,0.114,-14.905,1,0.0325,84.986,4,0.228
"('Battle of the Heroes', 'John Williams')",0.783,0.174,222600,0.298,Classical,0.953,0,0.14,-15.017,0,0.033,89.962,4,0.133
"(""Rey's Theme"", 'John Williams')",0.975,0.234,191067,0.139,Classical,0.889,9,0.0814,-16.854,0,0.0342,102.682,4,0.12
"('Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto', 'Ludwig van Beethoven')",0.995,0.184,315427,0.00527,Classical,0.887,1,0.173,-37.264,0,0.0432,170.612,3,0.151
"('Für Elise, WoO 59', 'Ludwig van Beethoven')",0.994,0.303,188467,0.108,Classical,0.877,9,0.0805,-27.433,0,0.0473,126.931,3,0.18
"('Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59', 'Ludwig van Beethoven')",0.985,0.249,207627,0.0698,Classical,0.949,5,0.0669,-25.255,1,0.042,134.711,5,0.0991
"('Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio', 'Ludwig van Beethoven')",0.957,0.248,442000,0.298,Classical,0.9,0,0.0943,-15.661,0,0.0395,97.853,4,0.157
"('Piano Concerto No.5 in E flat major Op.73 -""Emperor"": 2. Adagio un poco mosso', 'Ludwig van Beethoven')",0.988,0.227,498867,0.0227,Classical,0.909,11,0.103,-29.761,1,0.0432,84.99,4,0.04
"('Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto', 'Ludwig van Beethoven')",0.994,0.141,313480,0.00123,Classical,0.942,1,0.11,-43.851,0,0.0429,78.155,3,0.0843
"('Piano Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": II. Adagio cantabile', 'Ludwig van Beethoven')",0.995,0.234,303280,0.00304,Classical,0.911,8,0.0935,-36.857,1,0.0509,63.074,4,0.0865
"('Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)', 'Ludwig van Beethoven')",0.991,0.215,294883,0.199,Classical,0.916,1,0.095,-20.583,0,0.0441,179.018,3,0.34
"('Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto', 'Ludwig van Beethoven')",0.995,0.205,315200,0.00644,Classical,0.872,1,0.115,-38.382,0,0.0604,163.137,3,0.147
"('Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto', 'Ludwig van Beethoven')",0.995,0.164,442800,0.00167,Classical,0.892,1,0.131,-42.66,0,0.0427,71.323,4,0.181
"('Pachelbel: Canon and Gigue in D Major, P. 37: I. Canon', 'Johann Pachelbel')",0.744,0.128,301587,0.132,Classical,0.942,2,0.107,-17.67,1,0.0353,85.314,4,0.0988
"('Canon in D Major, P.37', 'Johann Pachelbel')",0.988,0.407,288853,0.122,Classical,0.942,2,0.113,-17.925,1,0.0427,105.484,4,0.216
"('Canon in D', 'Johann Pachelbel')",0.808,0.151,376533,0.125,Classical,0.308,2,0.121,-20.414,1,0.0386,150.812,4,0.29
"('Canon in D, P.37', 'Johann Pachelbel')",0.324,0.14,269693,0.24,Classical,0.895,2,0.495,-17.441,1,0.0369,95.557,4,0.0928
"('Canon & Gigue', 'Johann Pachelbel')",0.527,0.332,316267,0.218,Classical,0.238,1,0.223,-15.772,1,0.0392,124.63,4,0.538
"('Canon and Gigue in D major - arr. Max Seiffert: 1. Canon', 'Johann Pachelbel')",0.923,0.264,310000,0.11,Classical,0.898,2,0.37,-19.692,1,0.0358,92.54,4,0.191
"('Pachelbel: Canon in D Major', 'Johann Pachelbel')",0.994,0.395,239547,0.192,Classical,0.931,2,0.104,-17.514,1,0.0604,73.135,4,0.24
"('Kanon und Gigue', 'Johann Pachelbel')",0.799,0.31,256840,0.23,Classical,0.00375,2,0.0854,-18.279,1,0.0467,76.356,4,0.517
"('Canon in D', 'Johann Pachelbel')",0.936,0.195,378533,0.138,Classical,0.874,2,0.156,-18.745,1,0.0447,125.631,4,0.145
"('Canon and Gigue in D Major, P. 37: I. Canon', 'Johann Pachelbel')",0.82,0.191,285514,0.14,Classical,0.873,2,0.104,-20.618,1,0.0335,96.094,4,0.186
"('Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1', 'Frédéric Chopin')",0.99,0.387,268427,0.0451,Classical,0.913,3,0.112,-24.698,1,0.0364,61.494,4,0.071
"('Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.', 'Frédéric Chopin')",0.992,0.225,259493,0.0047,Classical,0.881,1,0.0722,-30.928,0,0.0509,163.665,4,0.186
"('Nocturne No.2 In E Flat, Op.9 No.2', 'Frédéric Chopin')",0.984,0.442,273667,0.00919,Classical,0.936,3,0.0873,-32.452,1,0.047,79.314,4,0.0929
"('Nocturne, Op. posth. in C-Sharp Minor: Lento', 'Frédéric Chopin')",0.992,0.272,239973,0.00397,Classical,0.9,1,0.0763,-31.601,0,0.0475,72.059,4,0.19
"('Nocturne No. 19 in E Minor, Op. 72, No. 1', 'Frédéric Chopin')",0.991,0.31,241987,0.00735,Classical,0.952,4,0.0968,-30.904,0,0.0361,65.879,4,0.0924
"('Waltz in C-Sharp Minor, Op. 64 No. 2', 'Frédéric Chopin')",0.991,0.314,199773,0.0157,Classical,0.916,1,0.134,-36.252,0,0.0356,95.89,4,0.0939
"('Chopin: 24 Preludes Op. 28: No. 15 in D-Flat Major, ""Raindrop""', 'Frédéric Chopin')",0.995,0.398,348333,0.00293,Classical,0.922,1,0.0897,-29.481,1,0.0666,130.464,4,0.0804
"('24 Préludes, Op. 28: No.4 in E minor - Largo', 'Frédéric Chopin')",0.991,0.416,131200,0.0164,Classical,0.866,5,0.116,-25.933,1,0.0483,110.635,4,0.0365
"('Nocturnes, Op. 9: No. 2 in E-Flat Major. Andante', 'Frédéric Chopin')",0.989,0.422,274040,0.0163,Classical,0.918,3,0.177,-26.561,1,0.0399,64.079,4,0.108
"('Nocturne in E-Flat Major, Op. 9, No.2', 'Frédéric Chopin')",0.992,0.309,232240,0.0472,Classical,0.866,3,0.0979,-25.497,1,0.041,72.915,3,0.0693
"('An der schönen blauen Donau, Op.314', 'Johann Strauss II')",0.975,0.233,707173,0.0252,Classical,0.601,2,0.143,-24.824,1,0.0346,94.736,4,0.0936
"('The Blue Danube', 'Johann Strauss II')",0.929,0.226,527400,0.0701,Classical,0.782,2,0.123,-20.668,1,0.0361,176.342,3,0.15
"('An der schönen blauen Donau, Op.314', 'Johann Strauss II')",0.951,0.227,598093,0.151,Classical,0.819,2,0.403,-17.74,1,0.0348,100.016,4,0.113
"('Marcha Radetzky, Op.228', 'Johann Strauss II')",0.803,0.572,154707,0.5,Classical,0.831,9,0.114,-11.663,1,0.038,106.508,4,0.381
"('Die Fledermaus: Overture', 'Johann Strauss II')",0.932,0.386,460000,0.239,Classical,0.776,2,0.0548,-14.492,1,0.0453,109.209,3,0.199
"('Strauss Jr., J.: Frühlingsstimmen, Op. 410 (Excerpt)', 'Johann Strauss II')",0.94,0.291,351627,0.0648,Classical,0.93,10,0.345,-22.707,1,0.0342,111.826,4,0.347
"('Strauss & Co - Medley', 'Johann Strauss II')",0.804,0.315,300400,0.387,Classical,0.867,7,0.361,-11.223,1,0.0293,100.172,4,0.508
"('Frühlingsstimmen, Op. 410', 'Johann Strauss II')",0.968,0.153,465520,0.0428,Classical,0.87,10,0.103,-26.1,1,0.0393,181.28,3,0.166
"('The Blue Danube Waltz, Op. 314', 'Johann Strauss II')",0.971,0.287,637238,0.0912,Classical,0.932,2,0.105,-17.796,1,0.0362,94.741,4,0.108
"('The Blue Danube', 'Johann Strauss II')",0.974,0.269,351107,0.184,Classical,0.793,2,0.0669,-14.409,1,0.0309,94.359,4,0.259
"('The Other Side (from Trolls World Tour)', 'SZA')",0.00277,0.761,188187,0.607,R&B,0,7,0.132,-6.274,1,0.0964,105.979,4,0.71
"('The Weekend - Funk Wav Remix', 'SZA')",0.495,0.775,171806,0.573,R&B,0,11,0.126,-4.933,1,0.0585,101.925,4,0.667
"('All The Stars (with SZA)', 'SZA')",0.0605,0.698,232187,0.633,R&B,0.000194,8,0.0926,-4.946,1,0.0597,96.924,4,0.552
